Papel;Segmento;Cotacao;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imoveis;Preco do m2;Aluguel por m2;Cap Rate;Vacancia Media
HSRE11;Hibrido;97,93;7,36%;8,79%;1,04;871.452.000;1.651.610;25;6.654,81;601,45;9,04%;5,44%
HTMX11;Hotel;160;4,73%;13,94%;1,2;240.693.000;1.138.090;21;164.556,00;13.942,67;8,47%;0,00%
HUCG11;Logistica;93,99;1,49%;0,45%;0,91;105.457.000;234;2;3.596,81;0;0,00%;0,00%
HUSC11;Outros;99,99;10,85%;10,08%;0,66;85.073.600;3.498;1;1.146,50;151,96;13,25%;0,00%
HUSI11;Hospital;1.220,00;8,25%;7,78%;1,03;141.962.000;1.716;1;6.947,17;612,58;8,82%;0,00%
IAAG11;Titulos e Val. Mob.;8,85;10,19%;12,14%;0,91;92.519.500;125.140;0;0;0;0,00%;0,00%
IAGR11;Outros;2,89;11,63%;10,17%;0,32;8.086.050;12.982;0;0;0;0,00%;0,00%
IBCR11;Titulos e Val. Mob.;55,5;12,59%;17,93%;0,58;53.192.500;171.163;0;0;0;0,00%;0,00%
IBFF11;Titulos e Val. Mob.;66,4;8,28%;0,00%;0,93;44.267.600;0;0;0;0;0,00%;0,00%
ICRI11;Titulos e Val. Mob.;94,51;7,58%;8,67%;0,94;364.559.000;1.260.170;0;0;0;0,00%;0,00%
IDFI11;Titulos e Val. Mob.;2;16,41%;266,16%;0,46;4.115.850;17.589;2;0;0;0,00%;0,00%
IDGR11;Hibrido;3;5,11%;171,09%;0,89;2.650.080;1.893;1;0;0;0,00%;0,00%
IFID11;Titulos e Val. Mob.;80,06;15,81%;0,00%;1,1;59.897.000;0;0;0;0;0,00%;0,00%
IFIE11;Titulos e Val. Mob.;71,98;15,34%;0,00%;0,92;64.817.600;0;0;0;0;0,00%;0,00%
INLG11;Logistica;76,34;12,23%;2,06%;0,77;344.454.000;110.695;5;2.825,68;375,13;13,28%;0,84%
INRD11;Residencial;70,25;14,27%;1,69%;0,6;79.432.100;86.320;5;3.026,89;599,54;19,81%;2,33%
